Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Abbotsford,52a William St,2,h,1100000.0,PI,Biggin,2016-06-18,2.5,3067.0,2.0,2.0,1.0,124.0,135.0,2013.0,Yarra City Council,-37.8079,144.9977,Northern Metropolitan,4019.0
Abbotsford,49 Park St,2,h,1315000.0,S,Marshall,2016-11-19,2.5,3067.0,2.0,1.0,0.0,147.0,85.0,1900.0,Yarra City Council,-37.808,144.994,Northern Metropolitan,4019.0
Abbotsford,48 Abbotsford St,3,h,1447500.0,PI,Nelson,2016-08-22,2.5,3067.0,3.0,3.0,1.0,166.0,174.0,2012.0,Yarra City Council,-37.8017,145.0001,Northern Metropolitan,4019.0
Abbotsford,159 Park St,2,h,1135000.0,S,Nelson,2016-08-22,2.5,3067.0,2.0,2.0,2.0,98.0,128.0,1920.0,Yarra City Council,-37.8005,144.9952,Northern Metropolitan,4019.0
Abbotsford,60 Stafford St,3,h,1290000.0,S,Biggin,2017-02-25,2.5,3067.0,3.0,1.0,1.0,168.0,124.0,1950.0,Yarra City Council,-37.8007,144.9958,Northern Metropolitan,4019.0
Abbotsford,11/205 Gipps St,1,u,470000.0,S,Nelson,2016-07-26,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,2013.0,Yarra City Council,-37.8055,144.9961,Northern Metropolitan,4019.0
Abbotsford,47 Studley St,2,h,1180000.0,S,Jellis,2016-11-27,2.5,3067.0,2.0,1.0,0.0,162.0,91.0,1900.0,Yarra City Council,-37.8016,144.9956,Northern Metropolitan,4019.0
Abbotsford,45 Yarra St,3,h,1195000.0,SP,Jellis,2016-11-27,2.5,3067.0,3.0,2.0,1.0,120.0,128.0,1998.0,Yarra City Council,-37.8022,144.9954,Northern Metropolitan,4019.0
Abbotsford,200 Nicholson St,2,h,1012500.0,S,Nelson,2016-05-28,2.5,3067.0,2.0,1.0,0.0,182.0,82.0,1900.0,Yarra City Council,-37.8021,144.9976,Northern Metropolitan,4019.0
Abbotsford,27 Charles St,2,h,1030000.0,S,Biggin,2016-07-30,2.5,3067.0,2.0,1.0,1.0,172.0,81.0,1930.0,Yarra City Council,-37.8086,144.9946,Northern Metropolitan,4019.0
Airport West,154 Halsey Rd,3,t,840000.0,PI,Nelson,2016-09-03,13.5,3042.0,3.0,2.0,1.0,303.0,225.0,2016.0,Moonee Valley City Council,-37.718,144.878,Western Metropolitan,3464.0
Airport West,50 Bedford St,3,h,730000.0,VB,Nelson,2016-12-03,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley City Council,-37.7203,144.8755,Western Metropolitan,3464.0
Airport West,50 Bedford St,3,h,770000.0,SP,Nelson,2017-03-04,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley City Council,-37.7203,144.8755,Western Metropolitan,3464.0
Airport West,5 Harrington Rd,3,h,870000.0,S,Brad,2017-03-04,13.5,3042.0,3.0,1.0,1.0,580.0,114.0,1960.0,Moonee Valley City Council,-37.7235,144.8736,Western Metropolitan,3464.0
Airport West,23 Hart St,2,h,603000.0,S,Nelson,2017-03-04,13.5,3042.0,2.0,1.0,1.0,272.0,84.0,1950.0,Moonee Valley City Council,-37.7294,144.888,Western Metropolitan,3464.0
Airport West,1/80 Hawker St,3,t,700000.0,S,Brad,2017-03-04,13.5,3042.0,3.0,2.0,2.0,239.0,134.0,2009.0,Moonee Valley City Council,-37.7218,144.8837,Western Metropolitan,3464.0
Airport West,1/37 Hillside Gr,3,h,600000.0,S,Maddison,2017-03-04,13.5,3042.0,2.0,1.0,1.0,290.0,116.0,1980.0,Moonee Valley City Council,-37.7273,144.8744,Western Metropolitan,3464.0
Airport West,2/49 McIntosh St,2,u,500000.0,VB,Barry,2017-03-04,13.5,3042.0,2.0,1.0,1.0,168.0,86.0,2011.0,Moonee Valley City Council,-37.7215,144.8864,Western Metropolitan,3464.0
Airport West,11 Harrington Rd,6,h,725000.0,SP,Barry,2016-05-07,13.5,3042.0,6.0,3.0,2.0,976.0,186.0,1980.0,Moonee Valley City Council,-37.7239,144.8735,Western Metropolitan,3464.0
Airport West,2/252 Parer Rd,2,t,450000.0,S,Barry,2016-05-07,13.5,3042.0,2.0,1.0,1.0,110.0,90.0,2015.0,Moonee Valley City Council,-37.7216,144.871,Western Metropolitan,3464.0
Airport West,3/19 Hart St,2,u,515000.0,S,Barry,2016-11-07,13.5,3042.0,2.0,1.0,1.0,141.0,73.0,2013.0,Moonee Valley City Council,-37.7298,144.8883,Western Metropolitan,3464.0
Airport West,2/62 Clydesdale Rd,2,u,530000.0,S,Nelson,2016-09-10,13.5,3042.0,2.0,1.0,1.0,120.0,94.0,2012.0,Moonee Valley City Council,-37.7234,144.8792,Western Metropolitan,3464.0
Airport West,3 Deidre Ct,3,h,895000.0,PI,Rendina,2016-09-10,13.5,3042.0,3.0,1.0,6.0,1063.0,133.0,1975.0,Moonee Valley City Council,-37.7249,144.8728,Western Metropolitan,3464.0
Airport West,13 Etzel St,3,h,805000.0,S,Nelson,2016-12-10,13.5,3042.0,3.0,1.0,1.0,0.0,105.0,1950.0,Moonee Valley City Council,-37.7217,144.8783,Western Metropolitan,3464.0
Airport West,1/43 Cameron St,3,u,752000.0,S,Nelson,2017-02-11,13.5,3042.0,3.0,1.0,1.0,265.0,130.0,1993.0,Moonee Valley City Council,-37.7302,144.8855,Western Metropolitan,3464.0
Airport West,2/40 Earl St,3,t,700000.0,PI,Brad,2016-10-15,13.5,3042.0,3.0,2.0,2.0,165.0,133.0,2009.0,Moonee Valley City Council,-37.727,144.887,Western Metropolitan,3464.0
Airport West,180 Parer Rd,3,h,830000.0,S,Barry,2016-04-16,13.5,3042.0,3.0,1.0,2.0,971.0,113.0,1960.0,Moonee Valley City Council,-37.7186,144.876,Western Metropolitan,3464.0
Airport West,174 Parer Rd,2,h,675000.0,S,Barry,2016-07-16,13.5,3042.0,2.0,1.0,1.0,612.0,100.0,1975.0,Moonee Valley City Council,-37.7187,144.8765,Western Metropolitan,3464.0
Airport West,138 Victory Rd,3,h,1042000.0,S,Nelson,2016-07-16,13.5,3042.0,3.0,2.0,5.0,612.0,174.0,1950.0,Moonee Valley City Council,-37.7173,144.8796,Western Metropolitan,3464.0
Airport West,6 Kittyhawk St,4,h,773000.0,S,Brad,2016-09-17,13.5,3042.0,5.0,3.0,4.0,531.0,309.0,1980.0,Moonee Valley City Council,-37.7263,144.8679,Western Metropolitan,3464.0
Airport West,478 Fullarton Rd,3,h,810000.0,PI,Barry,2017-03-18,13.5,3042.0,3.0,3.0,2.0,555.0,192.0,1980.0,Moonee Valley City Council,-37.7285,144.8694,Western Metropolitan,3464.0
Airport West,144 Marshall Rd,3,h,715000.0,S,Rendina,2017-03-18,13.5,3042.0,3.0,2.0,2.0,422.0,126.0,1995.0,Moonee Valley City Council,-37.7164,144.8792,Western Metropolitan,3464.0
Airport West,3/7 South Rd,3,t,540000.0,SP,Nelson,2016-06-18,13.5,3042.0,2.0,2.0,1.0,161.0,101.0,2010.0,Moonee Valley City Council,-37.7231,144.8802,Western Metropolitan,3464.0
Airport West,37 North St,3,t,825000.0,SP,Barry,2016-11-19,13.5,3042.0,3.0,2.0,1.0,293.0,102.0,1960.0,Moonee Valley City Council,-37.72,144.8776,Western Metropolitan,3464.0
Airport West,10 Hilbert Rd,3,h,685000.0,S,Barry,2016-05-22,13.5,3042.0,3.0,1.0,1.0,579.0,113.0,1975.0,Moonee Valley City Council,-37.7226,144.8733,Western Metropolitan,3464.0
Airport West,85 Roberts Rd,4,h,900000.0,S,Harcourts,2016-11-27,13.5,3042.0,4.0,2.0,3.0,628.0,146.0,1975.0,Moonee Valley City Council,-37.7256,144.8739,Western Metropolitan,3464.0
Albert Park,105 Kerferd Rd,2,h,1275000.0,S,hockingstuart,2016-09-03,3.3,3206.0,2.0,1.0,0.0,120.0,82.0,1900.0,Port Phillip City Council,-37.8459,144.9555,Southern Metropolitan,3280.0
Albert Park,396 Montague St,2,h,1436000.0,S,RT,2017-03-04,3.3,3206.0,2.0,1.0,0.0,130.0,81.0,1900.0,Port Phillip City Council,-37.8431,144.9565,Southern Metropolitan,3280.0
Albert Park,9 Boyd St,3,h,870000.0,SN,Greg,2016-08-06,3.3,3206.0,2.0,2.0,1.0,336.0,145.0,1890.0,Port Phillip City Council,-37.8471,144.9561,Southern Metropolitan,3280.0
Albert Park,81 Richardson St,3,h,870000.0,S,Marshall,2016-05-07,3.3,3206.0,3.0,1.0,2.0,316.0,125.0,1880.0,Port Phillip City Council,-37.8449,144.9536,Southern Metropolitan,3280.0
Albert Park,1 Moubray St,3,h,1800000.0,VB,Greg,2016-11-07,3.3,3206.0,3.0,2.0,1.0,132.0,159.0,1996.0,Port Phillip City Council,-37.8415,144.952,Southern Metropolitan,3280.0
Albert Park,24 Kerferd Pl,3,h,1800000.0,S,Marshall,2016-09-10,3.3,3206.0,3.0,2.0,1.0,90.0,122.0,1900.0,Port Phillip City Council,-37.8421,144.9571,Southern Metropolitan,3280.0
Albert Park,5 Withers St,3,h,870000.0,SN,Marshall,2016-09-10,3.3,3206.0,3.0,1.0,0.0,126.0,88.0,1910.0,Port Phillip City Council,-37.8427,144.9515,Southern Metropolitan,3280.0
Albert Park,4a Gatehouse La,3,h,1370000.0,S,Greg,2016-06-12,3.3,3206.0,3.0,2.0,2.0,0.0,85.0,2000.0,Port Phillip City Council,-37.8451,144.9511,Southern Metropolitan,3280.0
Albert Park,140 Danks St,2,h,870000.0,SP,Marshall,2016-08-13,3.3,3206.0,2.0,1.0,2.0,366.0,117.0,1900.0,Port Phillip City Council,-37.847,144.9506,Southern Metropolitan,3280.0
Albert Park,65 Graham St,2,h,1322500.0,S,Greg,2016-10-15,3.3,3206.0,2.0,1.0,0.0,149.0,98.0,1890.0,Port Phillip City Council,-37.8443,144.9481,Southern Metropolitan,3280.0
Albert Park,364 Montague St,2,h,1562500.0,S,Greg,2016-10-15,3.3,3206.0,2.0,1.0,0.0,141.0,83.0,1890.0,Port Phillip City Council,-37.8424,144.9562,Southern Metropolitan,3280.0
Albert Park,16 Dinsdale St,3,h,870000.0,S,Greg,2016-09-24,3.3,3206.0,3.0,2.0,1.0,241.0,119.0,1990.0,Port Phillip City Council,-37.8452,144.9518,Southern Metropolitan,3280.0
Albert Park,13/52 Moubray St,1,u,442500.0,S,Marshall,2017-02-25,3.3,3206.0,1.0,1.0,0.0,0.0,34.0,1970.0,Port Phillip City Council,-37.8421,144.9517,Southern Metropolitan,3280.0
Albert Park,6 Brooke St,2,h,980000.0,S,Greg,2016-05-28,3.3,3206.0,2.0,1.0,0.0,79.0,68.0,1890.0,Port Phillip City Council,-37.8387,144.9519,Southern Metropolitan,3280.0
Albert Park,7 Herbert Pl,2,h,870000.0,SP,Marshall,2016-05-28,3.3,3206.0,2.0,1.0,0.0,99.0,65.0,1900.0,Port Phillip City Council,-37.8438,144.9588,Southern Metropolitan,3280.0
Albert Park,8 Kerferd Pl,4,h,870000.0,SP,Marshall,2016-05-28,3.3,3206.0,4.0,2.0,0.0,230.0,185.0,1900.0,Port Phillip City Council,-37.842,144.958,Southern Metropolitan,3280.0
Albert Park,17 Reed St,3,h,1740000.0,PI,Marshall,2016-08-28,3.3,3206.0,3.0,2.0,2.0,147.0,134.0,1890.0,Port Phillip City Council,-37.8448,144.9453,Southern Metropolitan,3280.0
Albert Park,9 Durham St,1,h,985000.0,S,Marshall,2016-07-30,3.3,3206.0,1.0,1.0,0.0,81.0,54.0,1900.0,Port Phillip City Council,-37.8411,144.9497,Southern Metropolitan,3280.0
Alphington,30 Austin St,3,h,870000.0,SN,McGrath,2016-09-03,6.4,3078.0,3.0,2.0,1.0,174.0,122.0,2003.0,Darebin City Council,-37.7818,145.0198,Northern Metropolitan,2211.0
Alphington,44 Shiers St,4,h,1717500.0,S,Collins,2016-10-08,6.4,3078.0,4.0,2.0,1.0,599.0,203.0,1925.0,Darebin City Council,-37.7717,145.031,Northern Metropolitan,2211.0
Alphington,3/19 Harker St,2,u,525500.0,S,Miles,2016-11-12,6.4,3078.0,2.0,1.0,1.0,88.0,60.0,1960.0,Darebin City Council,-37.7791,145.0306,Northern Metropolitan,2211.0
Alphington,4/2 Miller St,2,t,805000.0,S,Miles,2016-11-12,6.4,3078.0,2.0,2.0,3.0,155.0,140.0,2004.0,Darebin City Council,-37.7804,145.0308,Northern Metropolitan,2211.0
Alphington,10 Bennett St,4,h,1830000.0,S,Nelson,2016-11-19,6.4,3078.0,4.0,2.0,2.0,606.0,112.0,1970.0,Darebin City Council,-37.7743,145.0316,Northern Metropolitan,2211.0
Alphington,2c Hamilton St,3,h,865000.0,SP,hockingstuart,2016-05-22,6.4,3078.0,3.0,1.0,1.0,180.0,131.0,2010.0,Darebin City Council,-37.7802,145.0243,Northern Metropolitan,2211.0
Alphington,5/5 Yarana Rd,2,u,390000.0,VB,Nelson,2016-05-22,6.4,3078.0,2.0,1.0,1.0,0.0,60.0,1960.0,Darebin City Council,-37.7773,145.0314,Northern Metropolitan,2211.0
Alphington,1/14 Fulham Rd,2,u,512000.0,S,Love,2017-02-25,6.4,3078.0,2.0,1.0,1.0,0.0,61.0,1965.0,Darebin City Council,-37.7805,145.0262,Northern Metropolitan,2211.0
Alphington,21 Como St,5,h,870000.0,SN,Nelson,2016-08-28,6.4,3078.0,5.0,2.0,2.0,552.0,211.0,1916.0,Darebin City Council,-37.7829,145.0337,Northern Metropolitan,2211.0
Altona,158 Queen St,3,h,520000.0,VB,Greg,2016-09-03,13.8,3018.0,3.0,2.0,1.0,352.0,242.0,2015.0,Hobsons Bay City Council,-37.87,144.825,Western Metropolitan,5301.0
Altona,59 Bracken Gr,5,h,1525000.0,S,Greg,2016-12-03,13.8,3018.0,5.0,3.0,3.0,729.0,268.0,2005.0,Hobsons Bay City Council,-37.8721,144.8105,Western Metropolitan,5301.0
Altona,1/123 Blyth St,2,t,720000.0,S,hockingstuart,2016-02-04,13.8,3018.0,2.0,1.0,2.0,292.0,125.0,2013.0,Hobsons Bay City Council,-37.8687,144.8197,Western Metropolitan,5301.0
Altona,4 Blyth St,3,h,1120000.0,S,Barlow,2017-03-04,13.8,3018.0,3.0,1.0,2.0,506.0,120.0,1930.0,Hobsons Bay City Council,-37.8693,144.8375,Western Metropolitan,5301.0
Altona,29 Rose St,4,h,1780000.0,SP,Greg,2016-06-04,13.8,3018.0,4.0,3.0,6.0,1057.0,220.0,1962.0,Hobsons Bay City Council,-37.8681,144.819,Western Metropolitan,5301.0
Altona,1/170 Blyth St,3,u,630000.0,S,Barlow,2016-08-06,13.8,3018.0,2.0,1.0,2.0,311.0,94.0,1955.0,Hobsons Bay City Council,-37.8702,144.8143,Western Metropolitan,5301.0
Altona,156 Maidstone St,3,h,660000.0,VB,Greg,2016-05-07,13.8,3018.0,3.0,1.0,1.0,602.0,123.0,1955.0,Hobsons Bay City Council,-37.8616,144.8116,Western Metropolitan,5301.0
Altona,1/136 Queen St,2,u,580000.0,S,Barlow,2016-10-08,13.8,3018.0,2.0,1.0,1.0,225.0,93.0,1988.0,Hobsons Bay City Council,-37.8696,144.827,Western Metropolitan,5301.0
Altona,173 Queen St,3,h,1335000.0,S,hockingstuart,2016-10-08,13.8,3018.0,3.0,1.0,4.0,777.0,22.0,1953.0,Hobsons Bay City Council,-37.8697,144.8249,Western Metropolitan,5301.0
Altona,3/26 Grieve Pde,2,u,510000.0,S,Village,2016-09-10,13.8,3018.0,2.0,1.0,1.0,127.0,76.0,1990.0,Hobsons Bay City Council,-37.8686,144.8182,Western Metropolitan,5301.0
Altona,4/5 Rose St,2,u,425000.0,S,hockingstuart,2016-09-10,13.8,3018.0,2.0,1.0,2.0,115.0,57.0,1980.0,Hobsons Bay City Council,-37.871,144.8185,Western Metropolitan,5301.0
Altona,4/31 Millers Rd,2,u,391000.0,SP,Greg,2017-02-11,13.8,3018.0,2.0,1.0,1.0,0.0,65.0,1965.0,Hobsons Bay City Council,-37.8678,144.8384,Western Metropolitan,5301.0
Altona,24 Wren St,4,h,845000.0,S,hockingstuart,2017-02-11,13.8,3018.0,4.0,1.0,2.0,745.0,130.0,1950.0,Hobsons Bay City Council,-37.8658,144.8155,Western Metropolitan,5301.0
Altona,4/57 Blyth St,3,u,730000.0,SP,Barlow,2016-08-13,13.8,3018.0,3.0,2.0,1.0,69.0,141.0,2014.0,Hobsons Bay City Council,-37.868,144.8286,Western Metropolitan,5301.0
Altona,3/46 Sargood St,2,u,447000.0,S,Burnham,2016-10-15,13.8,3018.0,2.0,1.0,1.0,137.0,77.0,1990.0,Hobsons Bay City Council,-37.8655,144.8299,Western Metropolitan,5301.0
Altona,22 Fenfield St,3,h,678000.0,S,hockingstuart,2016-04-16,13.8,3018.0,3.0,1.0,2.0,606.0,87.0,1950.0,Hobsons Bay City Council,-37.8608,144.8124,Western Metropolitan,5301.0
Altona,5/8 David St,2,u,580000.0,PI,Biggin,2016-07-16,13.8,3018.0,2.0,2.0,1.0,175.0,76.0,2013.0,Hobsons Bay City Council,-37.8687,144.8268,Western Metropolitan,5301.0
Altona,27 McIntyre Dr,3,h,840000.0,SP,Greg,2017-03-18,13.8,3018.0,3.0,2.0,2.0,534.0,136.0,1965.0,Hobsons Bay City Council,-37.86,144.8245,Western Metropolitan,5301.0
Altona,3/20 Mulga St,3,u,577000.0,S,Williams,2016-04-23,13.8,3018.0,3.0,2.0,1.0,205.0,113.0,2007.0,Hobsons Bay City Council,-37.8684,144.815,Western Metropolitan,5301.0
Altona,2/5 Rose St,2,u,870000.0,PI,Point,2017-02-25,13.8,3018.0,2.0,1.0,1.0,117.0,58.0,1980.0,Hobsons Bay City Council,-37.871,144.8185,Western Metropolitan,5301.0
Altona,104 Maidstone St,2,h,857000.0,SP,hockingstuart,2016-11-27,13.8,3018.0,2.0,2.0,1.0,675.0,100.0,1950.0,Hobsons Bay City Council,-37.8653,144.8129,Western Metropolitan,5301.0
Altona,5/57 Blyth St,3,u,730000.0,SP,Barlow,2016-05-28,13.8,3018.0,3.0,2.0,1.0,70.0,3.0,2014.0,Hobsons Bay City Council,-37.868,144.8285,Western Metropolitan,5301.0
Altona,2/60 David St,2,h,535600.0,SP,Compton,2016-07-30,13.8,3018.0,2.0,1.0,1.0,154.0,91.0,1996.0,Hobsons Bay City Council,-37.8646,144.8272,Western Metropolitan,5301.0
Altona North,1 Beuron Rd,3,h,870000.0,SP,Williams,2016-09-03,11.1,3025.0,3.0,1.0,1.0,620.0,108.0,1950.0,Hobsons Bay City Council,-37.829,144.848,Western Metropolitan,5132.0
Altona North,45 Hearn St,5,h,1085000.0,S,FN,2016-09-03,11.1,3025.0,5.0,3.0,6.0,592.0,251.0,1965.0,Hobsons Bay City Council,-37.8388,144.8567,Western Metropolitan,5132.0
Altona North,4 Knapp St,3,h,781000.0,S,Jas,2016-09-03,11.1,3025.0,3.0,1.0,2.0,533.0,117.0,1970.0,Hobsons Bay City Council,-37.8291,144.835,Western Metropolitan,5132.0
Altona North,3/66 Marion St,2,t,421000.0,S,hockingstuart,2017-03-04,11.1,3025.0,2.0,1.0,1.0,77.0,77.0,2009.0,Hobsons Bay City Council,-37.8351,144.8529,Western Metropolitan,5132.0
Altona North,33 Carthy St,3,h,683000.0,S,FN,2016-06-04,11.1,3025.0,3.0,1.0,2.0,534.0,167.0,1967.0,Hobsons Bay City Council,-37.8284,144.8355,Western Metropolitan,5132.0
Altona North,1/5 Little St,3,h,720000.0,VB,Greg,2016-08-06,11.1,3025.0,3.0,2.0,1.0,0.0,130.0,2012.0,Hobsons Bay City Council,-37.8379,144.8583,Western Metropolitan,5132.0
Altona North,1/95 Mills St,3,h,588000.0,S,Williams,2016-05-07,11.1,3025.0,3.0,1.0,1.0,328.0,118.0,1970.0,Hobsons Bay City Council,-37.838,144.8555,Western Metropolitan,5132.0
Altona North,5 Binns St,3,h,710000.0,PI,Village,2016-11-07,11.1,3025.0,3.0,1.0,3.0,540.0,116.0,1960.0,Hobsons Bay City Council,-37.8294,144.8378,Western Metropolitan,5132.0
Altona North,25 Allan St,4,h,875000.0,SP,Jas,2016-10-08,11.1,3025.0,3.0,1.0,4.0,559.0,169.0,1965.0,Hobsons Bay City Council,-37.8448,144.8529,Western Metropolitan,5132.0
Altona North,45 Freemans Rd,4,h,870000.0,PN,hockingstuart,2016-12-10,11.1,3025.0,4.0,2.0,5.0,537.0,196.0,1960.0,Hobsons Bay City Council,-37.8261,144.8391,Western Metropolitan,5132.0
Altona North,2/36 May St,3,h,675000.0,S,hockingstuart,2016-05-14,11.1,3025.0,3.0,2.0,2.0,171.0,109.0,2012.0,Hobsons Bay City Council,-37.8337,144.8554,Western Metropolitan,5132.0
Altona North,11 Beevers St,3,h,708000.0,S,Greg,2016-10-15,11.1,3025.0,3.0,1.0,2.0,585.0,97.0,1960.0,Hobsons Bay City Council,-37.8258,144.8523,Western Metropolitan,5132.0
Altona North,4/63 Marion St,1,u,870000.0,PI,hockingstuart,2016-11-19,11.1,3025.0,1.0,1.0,1.0,0.0,46.0,1970.0,Hobsons Bay City Council,-37.8355,144.853,Western Metropolitan,5132.0
Altona North,252 Millers Rd,4,h,693000.0,SP,Raine&Horne,2016-05-22,11.1,3025.0,4.0,2.0,4.0,315.0,170.0,2008.0,Hobsons Bay City Council,-37.8391,144.8467,Western Metropolitan,5132.0
Altona North,1/156 Chambers Rd,3,h,620000.0,SP,Hunter,2016-08-22,11.1,3025.0,5.0,2.0,2.0,276.0,100.0,2010.0,Hobsons Bay City Council,-37.8262,144.8443,Western Metropolitan,5132.0
Altona North,2 Gadsden St,3,h,728500.0,S,Jas,2016-08-22,11.1,3025.0,3.0,1.0,1.0,531.0,157.0,1960.0,Hobsons Bay City Council,-37.8277,144.8385,Western Metropolitan,5132.0
Altona North,24 Hansen St,3,h,931000.0,S,hockingstuart,2016-08-22,11.1,3025.0,3.0,2.0,1.0,590.0,160.0,1950.0,Hobsons Bay City Council,-37.8382,144.8649,Western Metropolitan,5132.0
Altona North,6 Hill St,3,h,815000.0,S,hockingstuart,2017-02-25,11.1,3025.0,3.0,2.0,3.0,555.0,130.0,1960.0,Hobsons Bay City Council,-37.8318,144.8388,Western Metropolitan,5132.0
Altona North,5 Cresser St,4,h,1200000.0,SP,RT,2016-11-27,11.1,3025.0,4.0,1.0,4.0,633.0,158.0,1960.0,Hobsons Bay City Council,-37.8375,144.8541,Western Metropolitan,5132.0
Altona North,4/221 Blackshaws Rd,2,u,292000.0,S,Jas,2016-08-28,11.1,3025.0,2.0,1.0,1.0,153.0,70.0,1970.0,Hobsons Bay City Council,-37.8332,144.8649,Western Metropolitan,5132.0
Armadale,8/19 Mercer Rd,2,u,599000.0,S,Jellis,2016-09-03,6.3,3143.0,2.0,1.0,1.0,0.0,76.0,1964.0,Stonnington City Council,-37.8543,145.0262,Southern Metropolitan,4836.0
Armadale,14/71 Denbigh Rd,3,u,995000.0,S,Marshall,2016-12-03,6.3,3143.0,3.0,2.0,2.0,0.0,100.0,1998.0,Stonnington City Council,-37.8552,145.016,Southern Metropolitan,4836.0
Armadale,4/769 High St,3,t,1205000.0,S,Jellis,2016-12-03,6.3,3143.0,3.0,2.0,2.0,101.0,105.0,2000.0,Stonnington City Council,-37.854,145.0135,Southern Metropolitan,4836.0
